sku,field,change,original_value,new_value
SK-3408,sku,duplicate row removed,sk3408,SK-3408
SK-2504,sku,duplicate row removed,sk2504,SK-2504
SK-1608,sku,duplicate row removed,sk1608,SK-1608
SK-3376,sku,duplicate row removed,sk3376,SK-3376
SK-4248,sku,duplicate row removed,sk4248,SK-4248
SK-2520,sku,duplicate row removed,sk2520,SK-2520
SK-4344,sku,duplicate row removed,sk4344,SK-4344
SK-2432,sku,duplicate row removed,sk2432,SK-2432
SK-2264,sku,duplicate row removed,sk2264,SK-2264
SK-4680,sku,duplicate row removed,sk4680,SK-4680
SK-1216,sku,duplicate row removed,sk1216,SK-1216
SK-1408,sku,duplicate row removed,sk1408,SK-1408
SK-1448,sku,duplicate row removed,sk1448,SK-1448
SK-1304,sku,duplicate row removed,sk1304,SK-1304
SK-3552,sku,duplicate row removed,sk3552,SK-3552
SK-4440,sku,duplicate row removed,sk4440,SK-4440
SK-4224,sku,duplicate row removed,sk4224,SK-4224
SK-2064,sku,duplicate row removed,sk2064,SK-2064
SK-2016,sku,duplicate row removed,sk2016,SK-2016
SK-2304,sku,duplicate row removed,sk2304,SK-2304
SK-1320,sku,duplicate row removed,sk1320,SK-1320
SK-3632,sku,duplicate row removed,sk3632,SK-3632
SK-2000,sku,duplicate row removed,sk2000,SK-2000
SK-1568,sku,duplicate row removed,sk1568,SK-1568
SK-3992,sku,duplicate row removed,sk3992,SK-3992
SK-2960,sku,duplicate row removed,sk2960,SK-2960
SK-1360,sku,duplicate row removed,sk1360,SK-1360
SK-4688,sku,duplicate row removed,sk4688,SK-4688
SK-3944,sku,duplicate row removed,sk3944,SK-3944
SK-1248,sku,duplicate row removed,sk1248,SK-1248
SK-3296,sku,duplicate row removed,sk3296,SK-3296
SK-1472,sku,duplicate row removed,sk1472,SK-1472
SK-1624,sku,duplicate row removed,sk1624,SK-1624
SK-3936,sku,duplicate row removed,sk3936,SK-3936
SK-3544,supplier,filled from catalogue master,,Harlow Stationers
SK-3712,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-4560,supplier,filled from catalogue master,,Harlow Stationers
SK-1888,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-3176,supplier,filled from catalogue master,,Harlow Stationers
SK-1120,supplier,filled from catalogue master,,Harlow Stationers
SK-3088,supplier,filled from catalogue master,,Harlow Stationers
SK-4600,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-4400,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-4552,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-4624,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-4464,supplier,filled from catalogue master,,Harlow Stationers
SK-1464,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-3896,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-2128,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-2544,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-3192,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-2816,supplier,filled from catalogue master,,Harlow Stationers
SK-1584,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-4880,supplier,filled from catalogue master,,Harlow Stationers
SK-1400,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-3400,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-3288,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-2672,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-2336,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-2584,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-4488,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-1248,supplier,filled from catalogue master,,Harlow Stationers
SK-4080,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-4448,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-3344,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-2168,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-3576,supplier,filled from catalogue master,,Harlow Stationers
SK-2560,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-4328,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-2736,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-4912,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-2512,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-2824,supplier,filled from catalogue master,,Kestrel Supply Co.
SK-2448,supplier,filled from catalogue master,,Northgate Paper Ltd
SK-2440,supplier,filled from catalogue master,,Vale Clinical Supplies
SK-1000,product_name,standardised casing/spacing,blue lever arch file foolscap,Blue Lever Arch File Foolscap
SK-1000,category,matched to fixed category list,FILING,Filing
SK-1000,price,"currency symbol removed, 2dp",$80.94,80.94
SK-1008,product_name,standardised casing/spacing,"Blue  Ballpoint,  Broad","Blue Ballpoint, Broad"
SK-1008,category,matched to fixed category list,WRITING,Writing
SK-1016,category,matched to fixed category list,Filing/Storage,Filing
SK-1016,price,"currency symbol removed, 2dp",$68.41,68.41
SK-1024,category,matched to fixed category list,paper & office,Paper & Office
SK-1032,product_name,standardised casing/spacing,copier paper a5 120gsm,Copier Paper A5 120gsm
SK-1032,category,matched to fixed category list,Paper and Office,Paper & Office
SK-1040,product_name,standardised casing/spacing,Green Lever Arch File A4,Green Lever Arch File A4
SK-1040,category,matched to fixed category list,Filing/Storage,Filing
SK-1048,product_name,standardised casing/spacing,steel desk organiser,Steel Desk Organiser
SK-1048,category,matched to fixed category list,desk,Desk
SK-1056,product_name,standardised casing/spacing,Mesh  Desk  Organiser,Mesh Desk Organiser
SK-1056,category,matched to fixed category list,Desk Accessories,Desk
SK-1064,category,matched to fixed category list,WRITING,Writing
SK-1064,price,"currency symbol removed, 2dp",$81.35,81.35
SK-1072,product_name,standardised casing/spacing,copier paper a4 70gsm,Copier Paper A4 70gsm
SK-1072,category,matched to fixed category list,paper&office,Paper & Office
SK-1080,product_name,standardised casing/spacing,BLUE LEVER ARCH FILE FOOLSCAP,Blue Lever Arch File Foolscap
SK-1080,category,matched to fixed category list,filing & storage,Filing
SK-1088,product_name,standardised casing/spacing,blue lever arch file foolscap,Blue Lever Arch File Foolscap
SK-1088,category,matched to fixed category list,filing,Filing
SK-1096,category,matched to fixed category list,paper&office,Paper & Office
SK-1104,category,matched to fixed category list,WRITING,Writing
SK-1112,product_name,standardised casing/spacing,Steel  Desk  Organiser,Steel Desk Organiser
SK-1112,category,matched to fixed category list,Desk Accessories,Desk
SK-1120,category,matched to fixed category list,writing tools,Writing
SK-1128,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-1128,category,matched to fixed category list,DESK,Desk
SK-1136,category,matched to fixed category list,Filing/Storage,Filing
SK-1144,category,matched to fixed category list,desk,Desk
SK-1152,category,matched to fixed category list,paper&office,Paper & Office
SK-1160,category,matched to fixed category list,Filing/Storage,Filing
SK-1160,price,"currency symbol removed, 2dp",$30.59,30.59
SK-1168,category,matched to fixed category list,desk,Desk
SK-1176,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE A4,Green Lever Arch File A4
SK-1176,category,matched to fixed category list,filing & storage,Filing
SK-1176,price,"currency symbol removed, 2dp",$68.99,68.99
SK-1184,product_name,standardised casing/spacing,Blue  Lever  Arch  File  Foolscap,Blue Lever Arch File Foolscap
SK-1184,category,matched to fixed category list,filing & storage,Filing
SK-1192,category,matched to fixed category list,writing tools,Writing
SK-1200,product_name,standardised casing/spacing,ACRYLIC DESK ORGANISER,Acrylic Desk Organiser
SK-1200,category,matched to fixed category list,DESK,Desk
SK-1200,price,"currency symbol removed, 2dp",$2.62,2.62
SK-1208,category,matched to fixed category list,desk,Desk
SK-1208,price,"currency symbol removed, 2dp",$20.81,20.81
SK-1216,category,matched to fixed category list,FILING,Filing
SK-1224,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE FOOLSCAP,Green Lever Arch File Foolscap
SK-1224,category,matched to fixed category list,Filing/Storage,Filing
SK-1232,product_name,standardised casing/spacing,MESH DESK ORGANISER,Mesh Desk Organiser
SK-1232,category,matched to fixed category list,desk,Desk
SK-1240,category,matched to fixed category list,desk,Desk
SK-1248,product_name,standardised casing/spacing,Copier Paper A4 80gsm,Copier Paper A4 80gsm
SK-1248,category,matched to fixed category list,paper & office,Paper & Office
SK-1256,category,matched to fixed category list,Writing,Writing
SK-1256,price,"currency symbol removed, 2dp",$74.58,74.58
SK-1264,category,matched to fixed category list,filing & storage,Filing
SK-1272,product_name,standardised casing/spacing,GREEN LEVER ARCH FILE FOOLSCAP,Green Lever Arch File Foolscap
SK-1272,category,matched to fixed category list,FILING,Filing
SK-1280,product_name,standardised casing/spacing,Copier  Paper  A4  80gsm,Copier Paper A4 80gsm
SK-1280,category,matched to fixed category list,paper&office,Paper & Office
SK-1280,price,"currency symbol removed, 2dp",$53.10,53.10
SK-1288,product_name,standardised casing/spacing,steel desk organiser,Steel Desk Organiser
SK-1288,category,matched to fixed category list,desk acc.,Desk
SK-1296,category,matched to fixed category list,WRITING,Writing
SK-1296,price,"currency symbol removed, 2dp",74.0,74.00
SK-1304,product_name,standardised casing/spacing,"Green  Ballpoint,  Medium","Green Ballpoint, Medium"
SK-1304,category,matched to fixed category list,Writing,Writing
SK-1312,product_name,standardised casing/spacing,COPIER PAPER LETTER 100GSM,Copier Paper Letter 100gsm
SK-1312,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
SK-1312,price,"currency symbol removed, 2dp",$71.68,71.68
SK-1320,product_name,standardised casing/spacing,"black ballpoint, broad","Black Ballpoint, Broad"
SK-1320,category,matched to fixed category list,WRITING,Writing
SK-1328,category,matched to fixed category list,Paper/Office,Paper & Office
SK-1336,product_name,standardised casing/spacing,green lever arch file a4,Green Lever Arch File A4
SK-1336,category,matched to fixed category list,Filing/Storage,Filing
SK-1336,price,"currency symbol removed, 2dp",$69.69,69.69
SK-1344,category,matched to fixed category list,paper&office,Paper & Office
SK-1352,category,matched to fixed category list,paper & office,Paper & Office
SK-1352,price,"currency symbol removed, 2dp",$63.01,63.01
SK-1360,product_name,standardised casing/spacing,"BLACK BALLPOINT, BROAD","Black Ballpoint, Broad"
SK-1360,category,matched to fixed category list,writing tools,Writing
SK-1368,category,matched to fixed category list,paper&office,Paper & Office
SK-1376,product_name,standardised casing/spacing,Copier Paper A5 120gsm,Copier Paper A5 120gsm
SK-1376,category,matched to fixed category list,PAPER & OFFICE,Paper & Office
