sku,product_name,category,price,stock,supplier
SK-1000,Blue Lever Arch File Foolscap,Filing,80.94,53,Northgate Paper Ltd
SK-1008,"Blue Ballpoint, Broad",Writing,3.01,464,Northgate Paper Ltd
SK-1016,Blue Lever Arch File A4,Filing,68.41,419,Kestrel Supply Co.
SK-1024,Copier Paper Legal 70gsm,Paper & Office,6.71,199,Kestrel Supply Co.
SK-1032,Copier Paper A5 120gsm,Paper & Office,50.87,262,Kestrel Supply Co.
SK-1040,Green Lever Arch File A4,Filing,17.73,132,Northgate Paper Ltd
SK-1048,Steel Desk Organiser,Desk,75.09,202,Harlow Stationers
SK-1056,Mesh Desk Organiser,Desk,51.06,203,Harlow Stationers
SK-1064,"Red Ballpoint, Broad",Writing,81.35,23,Northgate Paper Ltd
SK-1072,Copier Paper A4 70gsm,Paper & Office,27.17,468,Kestrel Supply Co.
SK-1080,Blue Lever Arch File Foolscap,Filing,48.35,293,Kestrel Supply Co.
SK-1088,Blue Lever Arch File Foolscap,Filing,31.64,56,Northgate Paper Ltd
SK-1096,Copier Paper A3 100gsm,Paper & Office,87.28,32,Northgate Paper Ltd
SK-1104,"Blue Ballpoint, Broad",Writing,12.11,401,Kestrel Supply Co.
SK-1112,Steel Desk Organiser,Desk,89.47,181,Vale Clinical Supplies
SK-1120,"Green Ballpoint, Fine",Writing,52.38,74,Harlow Stationers
SK-1128,Acrylic Desk Organiser,Desk,68.78,381,Northgate Paper Ltd
SK-1136,Green Lever Arch File A4,Filing,61.46,200,Kestrel Supply Co.
SK-1144,Steel Desk Organiser,Desk,10.39,46,Kestrel Supply Co.
SK-1152,Copier Paper Letter 80gsm,Paper & Office,63.71,282,Northgate Paper Ltd
SK-1160,Blue Lever Arch File A4,Filing,30.59,257,Harlow Stationers
SK-1168,Acrylic Desk Organiser,Desk,30.27,64,Kestrel Supply Co.
SK-1176,Green Lever Arch File A4,Filing,68.99,285,Northgate Paper Ltd
SK-1184,Blue Lever Arch File Foolscap,Filing,52.65,328,Vale Clinical Supplies
SK-1192,"Black Ballpoint, Broad",Writing,38.90,102,Harlow Stationers
SK-1200,Acrylic Desk Organiser,Desk,2.62,411,Kestrel Supply Co.
SK-1208,Mesh Desk Organiser,Desk,20.81,391,Northgate Paper Ltd
SK-1216,Black Lever Arch File A4,Filing,83.57,232,Northgate Paper Ltd
SK-1224,Green Lever Arch File Foolscap,Filing,52.00,224,Kestrel Supply Co.
SK-1232,Mesh Desk Organiser,Desk,73.46,108,Kestrel Supply Co.
