sku,product_name,category,price,stock,supplier
SK-2056,ACRYLIC DESK ORGANISER,desk acc.,28.94,63,Harlow
SK-3576,Wooden  Desk  Organiser,DESK,$42.64,443,
SK-4912,Copier Paper A5 70gsm,Paper/Office,29.29,82,
SK-2992,"Red Ballpoint, Broad",WRITING,$47.17,195,vale clinical supplies
SK-4272,"BLUE BALLPOINT, FINE",Writing ,$32.70,224,NORTHGATE PAPER
SK-3912,Copier Paper Letter 100gsm, paper&office ,83.67,58,VALE CLINICAL
SK-2368,COPIER PAPER A4 70GSM,PAPER & OFFICE,79.15,338,Harlow
SK-2280,BLUE LEVER ARCH FILE A4,filing & storage,$9.77,71,Vale Clinical
SK-2576,"  Blue Ballpoint, Fine  ",writing,$78.66,221,Kestrel  Supply Co
SK-4744,  Wooden Desk Organiser  ,desk,21.52,294,Vale Clinical
SK-1152,Copier Paper Letter 80gsm, paper&office ,63.71,282,northgate paper ltd
SK-3968,wooden desk organiser,desk acc.,9.71,286,HARLOW STATIONERS
SK-4512,STEEL DESK ORGANISER,DESK,$61.06,317,Vale Clinical Supp.
SK-4048,grey lever arch file a4,filing & storage,$66.61,390,northgate paper ltd
SK-1744,COPIER PAPER LETTER 120GSM,Paper and Office, 89.74,229,harlow stationers
SK-1456,"Green  Ballpoint,  Medium",WRITING,$48.66,442,NORTHGATE PAPER
SK-1576,Black  Lever  Arch  File  Foolscap,FILING,3.81,318,NORTHGATE PAPER
SK-3448,GREY LEVER ARCH FILE A4,filing & storage,39.70,461,Kestrel  Supply Co
SK-4880,"blue ballpoint, fine",Writing ,54.85,369,
SK-3664,Steel  Desk  Organiser,desk,$72.86,8,Northgate
SK-4360,Copier Paper A3 100gsm,paper & office,71.91 ,441,Vale Clinical Supp.
SK-2240,Copier  Paper  A4  120gsm,PAPER & OFFICE,39.26,435,Vale Clinical
sk4248,"RED BALLPOINT, FINE",WRITING,60.83,428,harlow stationers
SK-1000,blue lever arch file foolscap,FILING,$80.94,53,Northgate Paper
SK-3592,black lever arch file foolscap,filing & storage,$35.30,67,NORTHGATE PAPER
SK-4024,COPIER PAPER A5 120GSM,paper & office,29.17 ,399,Vale Clinical Supp.
SK-2472,Copier Paper A3 100gsm,paper & office,71.62,202,Vale Clinical
SK-1656,Wooden Desk Organiser,DESK, 38.03,116,Vale Clinical Supp.
SK-2104,Wooden  Desk  Organiser,desk,68.26 ,263,Kestrel Supply Company Ltd
SK-3640,"Red Ballpoint, Broad",WRITING,18.24 ,277,VALE CLINICAL
SK-2336,ACRYLIC DESK ORGANISER,Desk Accessories,33.90,332,
SK-3320,mesh desk organiser,Desk Accessories,48.08,115,Harlow Stationery
SK-2840,Copier  Paper  A5  80gsm, paper&office ,54.72,204,Vale Clinical
SK-1544,Copier Paper Legal 80gsm,paper & office,66.34,125,NORTHGATE PAPER
SK-1176,GREEN LEVER ARCH FILE A4,filing & storage,$68.99,285,Northgate
SK-3960,Copier  Paper  A4  80gsm,PAPER & OFFICE, 43.24,58,Vale Clinical
SK-3136,copier paper a5 120gsm,paper & office,$86.25,139,NORTHGATE PAPER
SK-2976,"Blue Ballpoint, Fine",WRITING,11.31 ,71,Vale Clinical Supp.
SK-4560,acrylic desk organiser,Desk Accessories,47.78,5,
SK-3200,  Blue Lever Arch File A4  ,Filing/Storage,64.61 ,405,kestrel supply co.
SK-3272,Copier  Paper  Letter  70gsm, paper&office ,12.74,463,VALE CLINICAL
SK-1752,Copier  Paper  A4  80gsm,paper & office,$30.73,95,NORTHGATE PAPER
SK-3352,"  Blue Ballpoint, Broad  ",writing tools,32.57,188,Northgate Paper Limited
SK-2480,Steel Desk Organiser,Desk Accessories,$45.76,362,NORTHGATE PAPER
SK-1504,"Black Ballpoint, Broad",WRITING,34.51,90,Kestrel  Supply Co
SK-3384,"Green Ballpoint, Fine",writing,33.43,125,KESTREL SUPPLY CO
sk2264,"Red  Ballpoint,  Broad",Writing ,$81.28,331,Vale Clinical
