sku,field,why_unresolved
SK-4232,price,"two prices on source, no effective date — owner to confirm"
SK-4056,price,"two prices on source, no effective date — owner to confirm"
SK-4680,price,"two prices on source, no effective date — owner to confirm"
SK-3176,price,"two prices on source, no effective date — owner to confirm"
SK-2512,price,"two prices on source, no effective date — owner to confirm"
SK-2832,price,"two prices on source, no effective date — owner to confirm"
SK-3272,price,"two prices on source, no effective date — owner to confirm"
SK-1656,price,"two prices on source, no effective date — owner to confirm"
SK-3160,price,"two prices on source, no effective date — owner to confirm"
SK-2888,price,"two prices on source, no effective date — owner to confirm"
SK-1552,price,"two prices on source, no effective date — owner to confirm"
SK-3648,price,"two prices on source, no effective date — owner to confirm"
